Date,IRD
2025-04-25,11.5978739629695
2025-04-28,11.6072360077985
2025-04-29,11.610358368493
2025-04-30,11.6134815691064
2025-05-01,11.6146697367522
2025-05-02,11.6158595953863
2025-05-05,11.6194299027052
2025-05-06,11.620620248992
2025-05-07,11.6218107172231
2025-05-08,11.6230013074112
2025-05-09,11.6241920195686
2025-05-12,11.6277648879821
2025-05-13,11.628956088142
2025-05-14,11.6301474103337
2025-05-15,11.6313388545698
2025-05-16,11.6325304208628
2025-05-19,11.636105852208
2025-05-20,11.6372979068535
2025-05-21,11.6384900836184
2025-05-22,11.6396823825153
2025-05-23,11.6408748035565
2025-05-26,11.6444527996719
2025-05-27,11.645645709416
2025-05-28,11.6468387413671
2025-05-29,11.6480318955377
2025-05-30,11.6492251719403
2025-06-02,11.6499812490044
2025-06-03,11.6497618797029
2025-06-04,11.6495425145321
2025-06-05,11.6493231534919
2025-06-06,11.6491037965824
2025-06-09,11.6484457506363
2025-06-10,11.6482264102482
2025-06-11,11.6480070739903
2025-06-12,11.6477877418625
2025-06-13,11.6475684138647
2025-06-16,11.6469104546508
2025-06-17,11.6466911431724
2025-06-18,11.6464718358236
2025-06-19,11.6462525326043
2025-06-20,11.6460332335146
2025-06-23,11.6453753610214
2025-06-24,11.6451560784488
2025-06-25,11.6449368000053
2025-06-26,11.6447175256908
2025-06-27,11.6444982555053
2025-06-30,11.6438404697215
2025-07-01,11.6443230300154
2025-07-02,11.6448060800687
2025-07-03,11.6452891501607
2025-07-04,11.6457722402923
2025-07-07,11.6472216309326
2025-07-08,11.6477048012307
2025-07-09,11.6481879915725
2025-07-10,11.6486712019588
2025-07-11,11.6491544323905
2025-07-14,11.6506042439663
2025-07-15,11.6510875545878
2025-07-16,11.6515708852588
2025-07-17,11.6520542359803
2025-07-18,11.6525376067529
2025-07-21,11.6539878393862
2025-07-22,11.6544712903719
2025-07-23,11.654954761413
2025-07-24,11.6554382525103
2025-07-25,11.6559217636645
2025-07-28,11.6573724174778
2025-07-29,11.6578560088685
2025-07-30,11.6583396203203
2025-07-31,11.6588232518342
2025-08-01,11.6596895574013
2025-08-04,11.6622986187532
2025-08-05,11.6631684356026
